机组类型,区域,团队,经销商（KAD）,地区,城市,县级,所属集团,企业名称,纳税人识别号,登记状态,电厂名称/项目名称,地址,投产时间,过去两年Dpal售出(L),投产时间标签,每年涡轮机补加预估KL,每年辅机用油KL,每年总售后用油KL,机组总容量(MW),机组1名称,机组1容量(MW),机组2名称,机组2容量(MW),机组3名称,机组3容量(MW),机组4名称,机组4容量(MW),机组5名称,机组5容量(MW),机组6名称,机组6容量(MW),机组7名称,机组7容量(MW),机组8名称,机组8容量(MW),机组9名称,机组9容量(MW),机组10名称,机组10容量(MW),机组11名称,机组11容量(MW),机组12名称,机组12容量(MW),机组13名称,机组13容量(MW),机组14名称,机组14容量(MW),机组15名称,机组15容量(MW),机组16名称,机组16容量(MW),机组17名称,机组17容量(MW),机组18名称,机组18容量(MW),机组19名称,机组19容量(MW),机组20名称,机组20容量(MW),机组21名称,机组21容量(MW),机组22名称,机组22容量(MW),机组23名称,机组23容量(MW),机组24名称,机组24容量(MW),机组25名称,机组25容量(MW),机组26名称,机组26容量(MW),机组27名称,机组27容量(MW),机组28名称,机组28容量(MW),机组29名称,机组29容量(MW),机组30名称,机组30容量(MW),机组31名称,机组31容量(MW),机组32名称,机组32容量(MW),机组33名称,机组33容量(MW),机组34名称,机组34容量(MW),机组总容量(MW),机组1名称,机组1容量(MW),经度,纬度,机组总容量(MW),机组1名称,机组1容量(MW)
核电,华东,South,,福建省,福州市,福清市,中国核工业集团有限公司,福建福清核电有限公司,913501817869480708,存续,福建福清核电一期工程,福建省福州市福清市福建省福清市三山镇前薛村,2014/11/22, -   ,>10年,8.49,16.34,25,2178.00,#1,1089,#2,1089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,119.5162,25.4223,0.00,,
核电,华东,South,,福建省,福州市,福清市,中国核工业集团有限公司,福建福清核电有限公司,913501817869480708,存续,福建福清核电3至4号机组工程,福建省福州市福清市福建省福清市三山镇前薛村,2016/10/24, -   ,8~10年,8.49,16.34,25,2178.00,#3,1089,#4,1089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,119.5162,25.4223,0.00,,
核电,华东,South,,福建省,福州市,福清市,中国核工业集团有限公司,福建福清核电有限公司,913501817869480708,存续,福清核电厂5、6号机组,福建省福州市福清市福建省福清市三山镇前薛村,2021/1/29, -   ,1~5年,8.97,17.25,26,2300.00,#5,1150,#6,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,119.5162,25.4223,0.00,,
核电,华东,South,,福建省,宁德市,福鼎市,中国广核集团有限公司,福建宁德核电有限公司,91350900786900747Q,存续,福建宁德核电一期工程,福建省宁德市福鼎市秦屿镇备湾村,2013/4/15,"3,479",>10年,8.49,16.34,25,4356.00,#1,1089,#2,1089,#3,1089,#4,1089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,120.2452,27.0561,0.00,,
核电,华东,South,,福建省,宁德市,霞浦县,中国核工业集团有限公司,中核龙原科技有限公司,91350900MA32U56D6W,存续,600MW示范快堆项目,福建省宁德市霞浦县长春镇长门村,2023/7/20, -   ,1~5年,5.07,9.75,15,650.15,#1,650.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,120.0684,26.6453,0.00,,
核电,华东,South,,福建省,漳州市,云霄县,中国核工业集团有限公司,中核国电漳州能源有限公司,91350622585342048H,存续,福建漳州核电厂,福建省漳州市云霄县列屿镇城内村城东999号,2025/1/1, -   ,<1年,9.45,18.18,28,1212.00,#1,1212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,117.5028,23.8512,0.00,,
核电,华南,South,,广东省,江门市,台山市,中国广核集团有限公司,台山核电合营有限公司,91440700663381342E,存续,广东台山核电厂一期工程,广东省台山市赤溪镇,2018/12/13,"104,888",5~8年,13.65,26.25,40,3500.00,#1,1750,＃2,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,112.9247,21.9281,0.00,,
核电,华南,South,,广东省,深圳市,龙岗区,中国广核集团有限公司,广东核电合营有限公司,91440300618830559F,存续,广东核电合营有限公司,广东省深圳市龙岗区广东核电合营有限公司,1994/2/1,"1,243",>10年,8.00,15.39,23,2052.00,#1,1026,#2,1026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,114.5458,22.5976,0.00,,
核电,华南,South,,广东省,深圳市,龙岗区,中国广核集团有限公司,岭澳核电有限公司,91440300100018216A,存续,岭澳核电有限公司,深圳市大鹏新区大鹏街道鹏城社区大亚湾核电基地‌,2002/5/1,912,>10年,7.72,14.85,23,1980.00,#1,990,#2,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,114.5458,22.5976,0.00,,
核电,华南,South,,广东省,深圳市,龙岗区,中国广核集团有限公司,岭东核电有限公司,914403007663895153,存续,岭东核电有限公司,深圳市福田区深南大道2002号中广核大厦南楼17层,2010/6/15,663,>10年,8.47,16.29,25,2172.00,＃1,1086,＃2,1086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,114.0565,22.5387,0.00,,
